,label,text
0,0,"['Go', 'jurong', 'point', 'crazy', 'Available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'Cine', 'got', 'amore', 'wat']"
1,0,"['Ok', 'lar', 'Joking', 'wif', 'u', 'oni']"
2,1,"['Free', 'entry', '2', 'wkly', 'comp', 'win', 'FA', 'Cup', 'final', 'tkts', '21st', 'May', '2005', 'Text', 'FA', '87121', 'receive', 'entry', 'questionstd', 'txt', 'rateTCs', 'apply', '08452810075over18s']"
3,0,"['U', 'dun', 'say', 'early', 'hor', 'U', 'c', 'already', 'say']"
4,0,"['Nah', 'dont', 'think', 'goes', 'usf', 'lives', 'around', 'though']"
5,1,"['FreeMsg', 'Hey', 'darling', '3', 'weeks', 'word', 'back', 'Id', 'like', 'fun', 'still', 'Tb', 'ok', 'XxX', 'std', 'chgs', 'send', 'Â£150', 'rcv']"
6,0,"['Even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']"
7,0,"['per', 'request', 'Melle', 'Melle', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', 'set', 'callertune', 'Callers', 'Press', '9', 'copy', 'friends', 'Callertune']"
8,1,"['WINNER', 'valued', 'network', 'customer', 'selected', 'receivea', 'Â£900', 'prize', 'reward', 'claim', 'call', '09061701461', 'Claim', 'code', 'KL341', 'Valid', '12', 'hours']"
9,1,"['mobile', '11', 'months', 'U', 'R', 'entitled', 'Update', 'latest', 'colour', 'mobiles', 'camera', 'Free', 'Call', 'Mobile', 'Update', 'Co', 'FREE', '08002986030']"
10,0,"['Im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'Ive', 'cried', 'enough', 'today']"
11,1,"['SIX', 'chances', 'win', 'CASH', '100', '20000', 'pounds', 'txt', 'CSH11', 'send', '87575', 'Cost', '150pday', '6days', '16', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']"
12,1,"['URGENT', '1', 'week', 'FREE', 'membership', 'Â£100000', 'Prize', 'Jackpot', 'Txt', 'word', 'CLAIM', '81010', 'TC', 'wwwdbuknet', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']"
13,0,"['Ive', 'searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']"
14,0,"['DATE', 'SUNDAY']"
15,1,"['XXXMobileMovieClub', 'use', 'credit', 'click', 'WAP', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnQJKGIGHJJGCBL']"
16,0,"['Oh', 'kim', 'watching']"
17,0,"['Eh', 'u', 'remember', '2', 'spell', 'name', 'Yes', 'v', 'naughty', 'make', 'v', 'wet']"
18,0,"['Fine', 'thatÂ’s', 'way', 'u', 'feel', 'ThatÂ’s', 'way', 'gota', 'b']"
19,1,"['England', 'v', 'Macedonia', 'dont', 'miss', 'goalsteam', 'news', 'Txt', 'ur', 'national', 'team', '87077', 'eg', 'ENGLAND', '87077', 'TryWALES', 'SCOTLAND', '4txtÃº120', 'POBOXox36504W45WQ', '16']"
20,0,"['seriously', 'spell', 'name']"
21,0,"['Iâ€', 'going', 'try', '2', 'months', 'ha', 'ha', 'joking']"
22,0,"['pay', 'first', 'lar', 'da', 'stock', 'comin']"
23,0,"['Aft', 'finish', 'lunch', 'go', 'str', 'lor', 'Ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'already']"
24,0,"['Ffffffffff', 'Alright', 'way', 'meet', 'sooner']"
25,0,"['forced', 'eat', 'slice', 'Im', 'really', 'hungry', 'tho', 'sucks', 'Mark', 'getting', 'worried', 'knows', 'Im', 'sick', 'turn', 'pizza', 'Lol']"
26,0,"['Lol', 'always', 'convincing']"
27,0,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'moms', 'left', 'dinner', 'feel', 'Love']"
28,0,"['Im', 'back', 'amp', 'packing', 'car', 'Ill', 'let', 'know', 'theres', 'room']"
29,0,"['Ahhh', 'Work', 'vaguely', 'remember', 'feel', 'like', 'Lol']"
30,0,"['Wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'us']"
31,0,"['Yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'Till', '2', 'wont', 'go', 'badly', 'cheers']"
32,0,"['K', 'tell', 'anything']"
33,0,"['fear', 'fainting', 'housework', 'Quick', 'cuppa']"
34,1,"['Thanks', 'subscription', 'Ringtone', 'UK', 'mobile', 'charged', 'Â£5month', 'Please', 'confirm', 'replying', 'YES', 'reply', 'charged']"
35,0,"['Yup', 'Ok', 'go', 'home', 'look', 'timings', 'msg', 'Xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']"
36,0,"['Oops', 'Ill', 'let', 'know', 'roommates', 'done']"
37,0,"['see', 'letter', 'B', 'car']"
38,0,"['Anything', 'lor', 'U', 'decide']"
39,0,"['Hello', 'Hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything']"
40,0,"['Pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'Abiola']"
41,0,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'Arabian', 'steed', 'Mmmmmm', 'Yummy']"
42,1,"['07732584351', 'Rodger', 'Burns', 'MSG', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'Please', 'call', '08000930705', 'delivery', 'tomorrow']"
43,0,['SEEING']
44,0,"['Great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inches']"
45,0,"['callsmessagesmissed', 'calls']"
46,0,"['Didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria']"
47,0,"['Fair', 'enough', 'anything', 'going']"
48,0,"['Yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit']"
49,0,"['U', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'Mark', 'Im', 'weak', 'sucker', 'Hospitals', 'weak', 'suckers']"
50,0,"['thinked', 'First', 'time', 'saw', 'class']"
51,0,"['gram', 'usually', 'runs', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'ltgt']"
52,0,"['K', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'hes', 'crashing', 'place', 'tonight']"
53,0,"['Wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'Im', 'sorry', 'didnt', 'dont', 'give', 'Im', 'sorry', 'offered', 'Im', 'sorry', 'room', 'embarassing']"
54,1,"['SMS', 'ac', 'Sptv', 'New', 'Jersey', 'Devils', 'Detroit', 'Red', 'Wings', 'play', 'Ice', 'Hockey', 'Correct', 'Incorrect', 'End', 'Reply', 'END', 'SPTV']"
55,0,"['know', 'Mallika', 'Sherawat', 'yesterday', 'Find', 'ltURLgt']"
56,1,"['Congrats', '1', 'year', 'special', 'cinema', 'pass', '2', 'call', '09061209465', 'C', 'Suprman', 'V', 'Matrix3', 'StarWars3', 'etc', '4', 'FREE', 'bx420ip45we', '150pm', 'Dont', 'miss']"
57,0,"['Sorry', 'Ill', 'call', 'later', 'meeting']"
58,0,"['Tell', 'reached']"
59,0,"['Yesgauti', 'sehwag', 'odi', 'series']"
60,0,"['gonna', 'pick', '1', 'burger', 'way', 'home', 'cant', 'even', 'move', 'Pain', 'killing']"
61,0,"['Ha', 'ha', 'ha', 'good', 'joke', 'Girls', 'situation', 'seekers']"
62,0,"['part', 'checking', 'IQ']"
63,0,"['Sorry', 'roommates', 'took', 'forever', 'ok', 'come']"
64,0,"['Ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']"
65,1,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'Mob', 'awarded', 'Â£1500', 'Bonus', 'Prize', 'call', '09066364589']"
66,0,"['Today', 'song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'Send', 'ur', 'valuable', 'frnds', 'first', 'rply']"
67,1,"['Urgent', 'UR', 'awarded', 'complimentary', 'trip', 'EuroDisinc', 'Trav', 'AcoEntry41', 'Â£1000', 'claim', 'txt', 'DIS', '87121', '186Â£150moreFrmMob', 'ShrAcomOrSglSuplt10', 'LS1', '3AJ']"
68,1,"['hear', 'new', 'Divorce', 'Barbie', 'comes', 'Kens', 'stuff']"
69,0,"['plane', 'give', 'month', 'end']"
70,0,"['Wah', 'lucky', 'man', 'save', 'money', 'Hee']"
71,0,"['Finished', 'class']"
72,0,"['HI', 'BABE', 'IM', 'HOME', 'WANNA', 'SOMETHING', 'XX']"
73,0,"['Kkwhere', 'youhow', 'performed']"
74,0,"['U', 'call']"
75,0,"['waiting', 'machan', 'Call', 'free']"
76,0,"['Thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']"
77,0,"['like', 'peoples', 'much', 'shy', 'pa']"
78,0,"['operate', 'ltgt']"
79,0,"['Still', 'looking', 'job', 'much', 'Tas', 'earn']"
80,0,"['Sorry', 'Ill', 'call', 'later']"
81,0,"['K', 'call', 'ah']"
82,0,"['Ok', 'way', 'home', 'hi', 'hi']"
83,0,"['place', 'man']"
84,0,"['Yup', 'next', 'stop']"
85,0,"['call', 'later', 'dont', 'network', 'urgnt', 'sms']"
86,0,"['real', 'u', 'getting', 'yo', 'need', '2', 'tickets', 'one', 'jacket', 'Im', 'done', 'already', 'used', 'multis']"
87,0,"['Yes', 'started', 'send', 'requests', 'make', 'pain', 'came', 'back', 'Im', 'back', 'bed', 'Double', 'coins', 'factory', 'gotta', 'cash', 'nitros']"
88,0,"['Im', 'really', 'still', 'tonight', 'babe']"
89,0,"['Ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']"
